Amount,Tip,Partysize,flag_extreme_tip,flag_extreme_partysize,Gender_Encoded,Smoker_Encoded,Day_Sat,Day_Sun,Day_Thur,Time_Lunch
16.99,1.01,2.0,False,False,0,0,False,True,False,False
10.34,1.66,3.0,False,False,1,0,False,True,False,False
21.01,3.5,3.0,False,False,1,0,False,True,False,False
23.68,3.31,2.0,False,False,1,0,False,True,False,False
24.59,3.61,4.0,False,False,0,0,False,True,False,False
25.29,4.71,4.0,False,False,1,0,False,True,False,False
8.77,2.0,2.0,False,False,1,0,False,True,False,False
26.88,3.12,4.0,False,False,1,0,False,True,False,False
15.04,1.96,2.0,False,False,1,0,False,True,False,False
14.78,3.23,2.0,False,False,1,0,False,True,False,False
10.27,1.71,2.0,False,False,1,0,False,True,False,False
35.26,5.0,4.0,False,False,0,0,False,True,False,False
15.42,1.57,2.0,False,False,1,0,False,True,False,False
18.43,3.0,4.0,False,False,1,0,False,True,False,False
14.83,3.02,2.0,False,False,0,0,False,True,False,False
21.58,3.92,2.0,False,False,1,0,False,True,False,False
10.33,1.67,3.0,False,False,0,0,False,True,False,False
16.29,3.71,3.0,False,False,1,0,False,True,False,False
16.97,3.5,3.0,False,False,0,0,False,True,False,False
20.65,3.35,3.0,False,False,1,0,True,False,False,False
17.92,4.08,2.0,False,False,1,0,True,False,False,False
20.29,2.75,2.0,False,False,0,0,True,False,False,False
15.77,2.23,2.0,False,False,0,0,True,False,False,False
39.42,7.58,4.0,True,False,1,0,True,False,False,False
19.82,3.18,2.0,False,False,1,0,True,False,False,False
17.81,2.34,4.0,False,False,1,0,True,False,False,False
13.37,2.0,2.0,False,False,1,0,True,False,False,False
12.69,2.0,2.0,False,False,1,0,True,False,False,False
21.7,4.3,2.0,False,False,1,0,True,False,False,False
19.65,3.0,2.0,False,False,0,0,True,False,False,False
9.55,1.45,2.0,False,False,1,0,True,False,False,False
18.35,2.5,4.0,False,False,1,0,True,False,False,False
15.06,3.0,2.0,False,False,0,0,True,False,False,False
20.69,2.45,4.0,False,False,0,0,True,False,False,False
17.78,3.27,2.0,False,False,1,0,True,False,False,False
24.06,3.6,3.0,False,False,1,0,True,False,False,False
16.31,2.0,3.0,False,False,1,0,True,False,False,False
16.93,3.07,3.0,False,False,0,0,True,False,False,False
18.69,2.31,3.0,False,False,1,0,True,False,False,False
31.27,5.0,3.0,False,False,1,0,True,False,False,False
16.04,2.24,3.0,False,False,1,0,True,False,False,False
17.46,2.54,2.0,False,False,1,0,False,True,False,False
13.94,3.06,2.0,False,False,1,0,False,True,False,False
9.68,1.32,2.0,False,False,1,0,False,True,False,False
30.4,5.6,4.0,False,False,1,0,False,True,False,False
18.29,3.0,2.0,False,False,1,0,False,True,False,False
22.23,5.0,2.0,False,False,1,0,False,True,False,False
32.4,6.0,4.0,True,False,1,0,False,True,False,False
28.55,2.05,3.0,False,False,1,0,False,True,False,False
18.04,3.0,200.0,False,True,1,0,False,True,False,False
12.54,2.5,2.0,False,False,1,0,False,True,False,False
